Player_name,Player_url,Nation,Pos,Age,MP,Starts,Min,Team
Shumaira Mheuka,https://fbref.com/en/players/43d0b694/Shumaira-Mheuka,ENG,MF, 16,1,0,1,Chelsea
Bruno Guimarães,https://fbref.com/en/players/82518f62/Bruno-Guimaraes,BRA,MF, 26,38,38,3271,Newcastle Utd
Dan Burn,https://fbref.com/en/players/b2d31e83/Dan-Burn,ENG,DF, 32,37,37,3330,Newcastle Utd
Alexander Isak,https://fbref.com/en/players/8e92be30/Alexander-Isak,SWE,FW, 24,34,34,2756,Newcastle Utd
Fabian Schär,https://fbref.com/en/players/c8aa95da/Fabian-Schar,SUI,DF, 32,34,33,2934,Newcastle Utd
Valentino Livramento,https://fbref.com/en/players/afed6722/Valentino-Livramento,ENG,DF, 21,37,32,2840,Newcastle Utd
Jacob Murphy,https://fbref.com/en/players/de112b84/Jacob-Murphy,ENG,FW, 29,35,31,2360,Newcastle Utd
Joelinton,https://fbref.com/en/players/c17bfb65/Joelinton,BRA,"MF,FW", 27,29,29,2393,Newcastle Utd
Sandro Tonali,https://fbref.com/en/players/0db169ae/Sandro-Tonali,ITA,MF, 24,36,28,2630,Newcastle Utd
Nick Pope,https://fbref.com/en/players/4b40d9ca/Nick-Pope,ENG,GK, 32,28,28,2520,Newcastle Utd
Anthony Gordon,https://fbref.com/en/players/2bd83368/Anthony-Gordon,ENG,"FW,MF", 23,34,28,2434,Newcastle Utd
Lewis Hall,https://fbref.com/en/players/da011f18/Lewis-Hall,ENG,DF, 19,27,24,2189,Newcastle Utd
Harvey Barnes,https://fbref.com/en/players/3ea50f67/Harvey-Barnes,ENG,FW, 26,33,17,1755,Newcastle Utd
Kieran Trippier,https://fbref.com/en/players/21512407/Kieran-Trippier,ENG,DF, 33,25,14,1309,Newcastle Utd
Joe Willock,https://fbref.com/en/players/a3b03921/Joe-Willock,ENG,"MF,FW", 24,32,11,1086,Newcastle Utd
Martin Dúbravka,https://fbref.com/en/players/3a949a25/Martin-Dubravka,SVK,GK, 35,10,10,900,Newcastle Utd
Sean Longstaff,https://fbref.com/en/players/a2b105e0/Sean-Longstaff,ENG,MF, 26,25,8,798,Newcastle Utd
Sven Botman,https://fbref.com/en/players/ccce7025/Sven-Botman,NED,DF, 24,8,6,412,Newcastle Utd
Lloyd Kelly,https://fbref.com/en/players/f31def1e/Lloyd-Kelly,ENG,DF, 25,10,4,303,Newcastle Utd
Callum Wilson,https://fbref.com/en/players/c596fcb0/Callum-Wilson,ENG,FW, 32,18,2,370,Newcastle Utd
Emil Krafth,https://fbref.com/en/players/77cf6852/Emil-Krafth,SWE,DF, 29,12,2,342,Newcastle Utd
Lewis Miley,https://fbref.com/en/players/2c6835e5/Lewis-Miley,ENG,MF, 18,14,1,313,Newcastle Utd
Miguel Almirón,https://fbref.com/en/players/862a1c15/Miguel-Almiron,PAR,FW, 30,9,1,157,Newcastle Utd
William Osula,https://fbref.com/en/players/7b355808/William-Osula,DEN,FW, 20,14,0,134,Newcastle Utd
Matt Targett,https://fbref.com/en/players/e514ab62/Matt-Targett,ENG,DF, 28,2,0,21,Newcastle Utd
Emiliano Martínez,https://fbref.com/en/players/7956236f/Emiliano-Martinez,ARG,GK, 31,37,37,3194,Aston Villa
Morgan Rogers,https://fbref.com/en/players/2e5915f1/Morgan-Rogers,ENG,"FW,MF", 22,37,37,3114,Aston Villa
Youri Tielemans,https://fbref.com/en/players/56f7a928/Youri-Tielemans,BEL,MF, 27,36,35,3026,Aston Villa
Ezri Konsa,https://fbref.com/en/players/0313a347/Ezri-Konsa,ENG,DF, 26,34,33,2936,Aston Villa
Ollie Watkins,https://fbref.com/en/players/aed3a70f/Ollie-Watkins,ENG,FW, 28,38,31,2598,Aston Villa
