Date,Venue,Result,GF,GA,Opponent,Team
2024-08-17, Away, W, 2, 0,Ipswich Town,Liverpool
2024-08-25, Home, W, 2, 0,Brentford,Liverpool
2024-09-01, Away, W, 3, 0,Manchester Utd,Liverpool
2024-09-14, Home, L, 0, 1,Nott'ham Forest,Liverpool
2024-09-17, Away, W, 3, 1,Milan,Liverpool
2024-09-21, Home, W, 3, 0,Bournemouth,Liverpool
2024-09-25, Home, W, 5, 1,West Ham,Liverpool
2024-09-28, Away, W, 2, 1,Wolves,Liverpool
2024-10-02, Home, W, 2, 0,Bologna,Liverpool
2024-10-05, Away, W, 1, 0,Crystal Palace,Liverpool
2024-10-20, Home, W, 2, 1,Chelsea,Liverpool
2024-10-23, Away, W, 1, 0,RB Leipzig,Liverpool
2024-10-27, Away, D, 2, 2,Arsenal,Liverpool
2024-10-30, Away, W, 3, 2,Brighton,Liverpool
2024-11-02, Home, W, 2, 1,Brighton,Liverpool
2024-11-05, Home, W, 4, 0,Leverkusen,Liverpool
2024-11-09, Home, W, 2, 0,Aston Villa,Liverpool
2024-11-24, Away, W, 3, 2,Southampton,Liverpool
2024-11-27, Home, W, 2, 0,Real Madrid,Liverpool
2024-12-01, Home, W, 2, 0,Manchester City,Liverpool
2024-12-04, Away, D, 3, 3,Newcastle Utd,Liverpool
2024-12-10, Away, W, 1, 0,Girona,Liverpool
2024-12-14, Home, D, 2, 2,Fulham,Liverpool
2024-12-18, Away, W, 2, 1,Southampton,Liverpool
2024-12-22, Away, W, 6, 3,Tottenham,Liverpool
2024-12-26, Home, W, 3, 1,Leicester City,Liverpool
2024-12-29, Away, W, 5, 0,West Ham,Liverpool
2025-01-05, Home, D, 2, 2,Manchester Utd,Liverpool
2025-01-08, Away, L, 0, 1,Tottenham,Liverpool
2025-01-11, Home, W, 4, 0,Acc'ton Stanley,Liverpool
2025-01-14, Away, D, 1, 1,Nott'ham Forest,Liverpool
2025-01-18, Away, W, 2, 0,Brentford,Liverpool
2025-01-21, Home, W, 2, 1,Lille,Liverpool
2025-01-25, Home, W, 4, 1,Ipswich Town,Liverpool
2025-01-29, Away, L, 2, 3,PSV Eindhoven,Liverpool
2025-02-01, Away, W, 2, 0,Bournemouth,Liverpool
2025-02-06, Home, W, 4, 0,Tottenham,Liverpool
2025-02-09, Away, L, 0, 1,Plymouth Argyle,Liverpool
2025-02-12, Away, D, 2, 2,Everton,Liverpool
2025-02-16, Home, W, 2, 1,Wolves,Liverpool
2025-02-19, Away, D, 2, 2,Aston Villa,Liverpool
2025-02-23, Away, W, 2, 0,Manchester City,Liverpool
2025-02-26, Home, W, 2, 0,Newcastle Utd,Liverpool
2025-03-05, Away, W, 1, 0,Paris S-G,Liverpool
2025-03-08, Home, W, 3, 1,Southampton,Liverpool
2025-03-16, Neutral, L, 1, 2,Newcastle Utd,Liverpool
2025-04-02, Home, W, 1, 0,Everton,Liverpool
2025-04-06, Away, L, 2, 3,Fulham,Liverpool
2025-04-13, Home, W, 2, 1,West Ham,Liverpool
2025-04-20, Away, W, 1, 0,Leicester City,Liverpool
2025-04-27, Home, W, 5, 1,Tottenham,Liverpool
2025-05-04, Away, L, 1, 3,Chelsea,Liverpool
2025-05-11, Home, D, 2, 2,Arsenal,Liverpool
2025-05-19, Away, L, 2, 3,Brighton,Liverpool
2025-05-25, Home, D, 1, 1,Crystal Palace,Liverpool
2024-08-17, Home, W, 2, 0,Wolves,Arsenal
2024-08-24, Away, W, 2, 0,Aston Villa,Arsenal
2024-08-31, Home, D, 1, 1,Brighton,Arsenal
2024-09-15, Away, W, 1, 0,Tottenham,Arsenal
2024-09-19, Away, D, 0, 0,Atalanta,Arsenal
2024-09-22, Away, D, 2, 2,Manchester City,Arsenal
2024-09-25, Home, W, 5, 1,Bolton,Arsenal
2024-09-28, Home, W, 4, 2,Leicester City,Arsenal
2024-10-01, Home, W, 2, 0,Paris S-G,Arsenal
2024-10-05, Home, W, 3, 1,Southampton,Arsenal
2024-10-19, Away, L, 0, 2,Bournemouth,Arsenal
2024-10-22, Home, W, 1, 0,Shakhtar,Arsenal
2024-10-27, Home, D, 2, 2,Liverpool,Arsenal
2024-10-30, Away, W, 3, 0,Preston,Arsenal
2024-11-02, Away, L, 0, 1,Newcastle Utd,Arsenal
2024-11-06, Away, L, 0, 1,Inter,Arsenal
2024-11-10, Away, D, 1, 1,Chelsea,Arsenal
2024-11-23, Home, W, 3, 0,Nott'ham Forest,Arsenal
2024-11-26, Away, W, 5, 1,Sporting CP,Arsenal
2024-11-30, Away, W, 5, 2,West Ham,Arsenal
2024-12-04, Home, W, 2, 0,Manchester Utd,Arsenal
2024-12-08, Away, D, 1, 1,Fulham,Arsenal
2024-12-11, Home, W, 3, 0,Monaco,Arsenal
2024-12-14, Home, D, 0, 0,Everton,Arsenal
2024-12-18, Home, W, 3, 2,Crystal Palace,Arsenal
2024-12-21, Away, W, 5, 1,Crystal Palace,Arsenal
2024-12-27, Home, W, 1, 0,Ipswich Town,Arsenal
2025-01-01, Away, W, 3, 1,Brentford,Arsenal
2025-01-04, Away, D, 1, 1,Brighton,Arsenal
2025-01-07, Home, L, 0, 2,Newcastle Utd,Arsenal
2025-01-15, Home, W, 2, 1,Tottenham,Arsenal
2025-01-18, Home, D, 2, 2,Aston Villa,Arsenal
2025-01-22, Home, W, 3, 0,Dinamo Zagreb,Arsenal
2025-01-25, Away, W, 1, 0,Wolves,Arsenal
2025-01-29, Away, W, 2, 1,Girona,Arsenal
2025-02-02, Home, W, 5, 1,Manchester City,Arsenal
2025-02-05, Away, L, 0, 2,Newcastle Utd,Arsenal
2025-02-15, Away, W, 2, 0,Leicester City,Arsenal
2025-02-22, Home, L, 0, 1,West Ham,Arsenal
2025-02-26, Away, D, 0, 0,Nott'ham Forest,Arsenal
2025-03-04, Away, W, 7, 1,PSV Eindhoven,Arsenal
2025-03-09, Away, D, 1, 1,Manchester Utd,Arsenal
2025-03-12, Home, D, 2, 2,PSV Eindhoven,Arsenal
2025-03-16, Home, W, 1, 0,Chelsea,Arsenal
2025-04-01, Home, W, 2, 1,Fulham,Arsenal
2025-04-05, Away, D, 1, 1,Everton,Arsenal
2025-04-08, Home, W, 3, 0,Real Madrid,Arsenal
2025-04-12, Home, D, 1, 1,Brentford,Arsenal
2025-04-16, Away, W, 2, 1,Real Madrid,Arsenal
2025-04-20, Away, W, 4, 0,Ipswich Town,Arsenal
2025-04-23, Home, D, 2, 2,Crystal Palace,Arsenal
2025-04-29, Home, L, 0, 1,Paris S-G,Arsenal
2025-05-03, Home, L, 1, 2,Bournemouth,Arsenal
2025-05-07, Away, L, 1, 2,Paris S-G,Arsenal
2025-05-11, Away, D, 2, 2,Liverpool,Arsenal
2025-05-18, Home, W, 1, 0,Newcastle Utd,Arsenal
2025-05-25, Away, W, 2, 1,Southampton,Arsenal
2024-08-18, Away, W, 2, 0,Chelsea,Manchester City
2024-08-24, Home, W, 4, 1,Ipswich Town,Manchester City
2024-08-31, Away, W, 3, 1,West Ham,Manchester City
2024-09-14, Home, W, 2, 1,Brentford,Manchester City
2024-09-18, Home, D, 0, 0,Inter,Manchester City
2024-09-22, Home, D, 2, 2,Arsenal,Manchester City
2024-09-24, Home, W, 2, 1,Watford,Manchester City
2024-09-28, Away, D, 1, 1,Newcastle Utd,Manchester City
2024-10-01, Away, W, 4, 0,Slovan Bratislava,Manchester City
2024-10-05, Home, W, 3, 2,Fulham,Manchester City
2024-10-20, Away, W, 2, 1,Wolves,Manchester City
2024-10-23, Home, W, 5, 0,Sparta Prague,Manchester City
2024-10-26, Home, W, 1, 0,Southampton,Manchester City
2024-10-30, Away, L, 1, 2,Tottenham,Manchester City
2024-11-02, Away, L, 1, 2,Bournemouth,Manchester City
2024-11-05, Away, L, 1, 4,Sporting CP,Manchester City
2024-11-09, Away, L, 1, 2,Brighton,Manchester City
2024-11-23, Home, L, 0, 4,Tottenham,Manchester City
2024-11-26, Home, D, 3, 3,Feyenoord,Manchester City
2024-12-01, Away, L, 0, 2,Liverpool,Manchester City
2024-12-04, Home, W, 3, 0,Nott'ham Forest,Manchester City
2024-12-07, Away, D, 2, 2,Crystal Palace,Manchester City
2024-12-11, Away, L, 0, 2,Juventus,Manchester City
2024-12-15, Home, L, 1, 2,Manchester Utd,Manchester City
2024-12-21, Away, L, 1, 2,Aston Villa,Manchester City
2024-12-26, Home, D, 1, 1,Everton,Manchester City
2024-12-29, Away, W, 2, 0,Leicester City,Manchester City
2025-01-04, Home, W, 4, 1,West Ham,Manchester City
2025-01-11, Home, W, 8, 0,Salford City,Manchester City
2025-01-14, Away, D, 2, 2,Brentford,Manchester City
2025-01-19, Away, W, 6, 0,Ipswich Town,Manchester City
2025-01-22, Away, L, 2, 4,Paris S-G,Manchester City
2025-01-25, Home, W, 3, 1,Chelsea,Manchester City
2025-01-29, Home, W, 3, 1,Club Brugge,Manchester City
2025-02-02, Away, L, 1, 5,Arsenal,Manchester City
2025-02-08, Away, W, 2, 1,Leyton Orient,Manchester City
2025-02-11, Home, L, 2, 3,Real Madrid,Manchester City
2025-02-15, Home, W, 4, 0,Newcastle Utd,Manchester City
2025-02-19, Away, L, 1, 3,Real Madrid,Manchester City
2025-02-23, Home, L, 0, 2,Liverpool,Manchester City
2025-02-26, Away, W, 1, 0,Tottenham,Manchester City
2025-03-01, Home, W, 3, 1,Plymouth Argyle,Manchester City
2025-03-08, Away, L, 0, 1,Nott'ham Forest,Manchester City
2025-03-15, Home, D, 2, 2,Brighton,Manchester City
2025-03-30, Away, W, 2, 1,Bournemouth,Manchester City
2025-04-02, Home, W, 2, 0,Leicester City,Manchester City
2025-04-06, Away, D, 0, 0,Manchester Utd,Manchester City
2025-04-12, Home, W, 5, 2,Crystal Palace,Manchester City
2025-04-19, Away, W, 2, 0,Everton,Manchester City
2025-04-22, Home, W, 2, 1,Aston Villa,Manchester City
2025-04-27, Away, W, 2, 0,Nott'ham Forest,Manchester City
2025-05-02, Home, W, 1, 0,Wolves,Manchester City
2025-05-10, Away, D, 0, 0,Southampton,Manchester City
2025-05-17, Neutral, L, 0, 1,Crystal Palace,Manchester City
2025-05-20, Home, W, 3, 1,Bournemouth,Manchester City
2025-05-25, Away, W, 2, 0,Fulham,Manchester City
2024-08-18, Home, L, 0, 2,Manchester City,Chelsea
2024-08-22, Home, W, 2, 0,Servette FC,Chelsea
2024-08-25, Away, W, 6, 2,Wolves,Chelsea
2024-08-29, Away, L, 1, 2,Servette FC,Chelsea
2024-09-01, Home, D, 1, 1,Crystal Palace,Chelsea
2024-09-14, Away, W, 1, 0,Bournemouth,Chelsea
2024-09-21, Away, W, 3, 0,West Ham,Chelsea
2024-09-24, Home, W, 5, 0,Barrow,Chelsea
2024-09-28, Home, W, 4, 2,Brighton,Chelsea
2024-10-03, Home, W, 4, 2,Gent,Chelsea
2024-10-06, Home, D, 1, 1,Nott'ham Forest,Chelsea
2024-10-20, Away, L, 1, 2,Liverpool,Chelsea
2024-10-24, Away, W, 4, 1,Panathinaikos,Chelsea
2024-10-27, Home, W, 2, 1,Newcastle Utd,Chelsea
2024-10-30, Away, L, 0, 2,Newcastle Utd,Chelsea
2024-11-03, Away, D, 1, 1,Manchester Utd,Chelsea
2024-11-07, Home, W, 8, 0,FC Noah,Chelsea
2024-11-10, Home, D, 1, 1,Arsenal,Chelsea
2024-11-23, Away, W, 2, 1,Leicester City,Chelsea
2024-11-28, Away, W, 2, 0,Heidenheim,Chelsea
2024-12-01, Home, W, 3, 0,Aston Villa,Chelsea
2024-12-04, Away, W, 5, 1,Southampton,Chelsea
2024-12-08, Away, W, 4, 3,Tottenham,Chelsea
2024-12-12, Away, W, 3, 1,Astana FK,Chelsea
2024-12-15, Home, W, 2, 1,Brentford,Chelsea
2024-12-19, Home, W, 5, 1,Shamrock Rov,Chelsea
2024-12-22, Away, D, 0, 0,Everton,Chelsea
2024-12-26, Home, L, 1, 2,Fulham,Chelsea
2024-12-30, Away, L, 0, 2,Ipswich Town,Chelsea
2025-01-04, Away, D, 1, 1,Crystal Palace,Chelsea
2025-01-11, Home, W, 5, 0,Morecambe,Chelsea
2025-01-14, Home, D, 2, 2,Bournemouth,Chelsea
2025-01-20, Home, W, 3, 1,Wolves,Chelsea
2025-01-25, Away, L, 1, 3,Manchester City,Chelsea
2025-02-03, Home, W, 2, 1,West Ham,Chelsea
2025-02-08, Away, L, 1, 2,Brighton,Chelsea
2025-02-14, Away, L, 0, 3,Brighton,Chelsea
2025-02-22, Away, L, 1, 2,Aston Villa,Chelsea
2025-02-25, Home, W, 4, 0,Southampton,Chelsea
2025-03-06, Away, W, 2, 1,FC Copenhagen,Chelsea
2025-03-09, Home, W, 1, 0,Leicester City,Chelsea
2025-03-13, Home, W, 1, 0,FC Copenhagen,Chelsea
2025-03-16, Away, L, 0, 1,Arsenal,Chelsea
2025-04-03, Home, W, 1, 0,Tottenham,Chelsea
2025-04-06, Away, D, 0, 0,Brentford,Chelsea
2025-04-10, Away, W, 3, 0,Legia Warsaw,Chelsea
2025-04-13, Home, D, 2, 2,Ipswich Town,Chelsea
2025-04-17, Home, L, 1, 2,Legia Warsaw,Chelsea
2025-04-20, Away, W, 2, 1,Fulham,Chelsea
2025-04-26, Home, W, 1, 0,Everton,Chelsea
2025-05-01, Away, W, 4, 1,Djurgården,Chelsea
2025-05-04, Home, W, 3, 1,Liverpool,Chelsea
2025-05-08, Home, W, 1, 0,Djurgården,Chelsea
2025-05-11, Away, L, 0, 2,Newcastle Utd,Chelsea
2025-05-16, Home, W, 1, 0,Manchester Utd,Chelsea
2025-05-25, Away, W, 1, 0,Nott'ham Forest,Chelsea
2025-05-28, Neutral, W, 4, 1,Betis,Chelsea
2024-08-17, Home, W, 1, 0,Southampton,Newcastle Utd
2024-08-25, Away, D, 1, 1,Bournemouth,Newcastle Utd
2024-09-01, Home, W, 2, 1,Tottenham,Newcastle Utd
2024-09-15, Away, W, 2, 1,Wolves,Newcastle Utd
2024-09-21, Away, L, 1, 3,Fulham,Newcastle Utd
2024-09-28, Home, D, 1, 1,Manchester City,Newcastle Utd
2024-10-01, Home, W, 1, 0,AFC Wimbledon,Newcastle Utd
2024-10-05, Away, D, 0, 0,Everton,Newcastle Utd
2024-10-19, Home, L, 0, 1,Brighton,Newcastle Utd
2024-10-27, Away, L, 1, 2,Chelsea,Newcastle Utd
2024-10-30, Home, W, 2, 0,Chelsea,Newcastle Utd
2024-11-02, Home, W, 1, 0,Arsenal,Newcastle Utd
2024-11-10, Away, W, 3, 1,Nott'ham Forest,Newcastle Utd
2024-11-25, Home, L, 0, 2,West Ham,Newcastle Utd
2024-11-30, Away, D, 1, 1,Crystal Palace,Newcastle Utd
2024-12-04, Home, D, 3, 3,Liverpool,Newcastle Utd
2024-12-07, Away, L, 2, 4,Brentford,Newcastle Utd
2024-12-14, Home, W, 4, 0,Leicester City,Newcastle Utd
2024-12-18, Home, W, 3, 1,Brentford,Newcastle Utd
2024-12-21, Away, W, 4, 0,Ipswich Town,Newcastle Utd
2024-12-26, Home, W, 3, 0,Aston Villa,Newcastle Utd
2024-12-30, Away, W, 2, 0,Manchester Utd,Newcastle Utd
2025-01-04, Away, W, 2, 1,Tottenham,Newcastle Utd
2025-01-07, Away, W, 2, 0,Arsenal,Newcastle Utd
2025-01-12, Home, W, 3, 1,Bromley,Newcastle Utd
2025-01-15, Home, W, 3, 0,Wolves,Newcastle Utd
2025-01-18, Home, L, 1, 4,Bournemouth,Newcastle Utd
2025-01-25, Away, W, 3, 1,Southampton,Newcastle Utd
2025-02-01, Home, L, 1, 2,Fulham,Newcastle Utd
2025-02-05, Home, W, 2, 0,Arsenal,Newcastle Utd
2025-02-08, Away, W, 3, 2,Birmingham City,Newcastle Utd
2025-02-15, Away, L, 0, 4,Manchester City,Newcastle Utd
2025-02-23, Home, W, 4, 3,Nott'ham Forest,Newcastle Utd
2025-02-26, Away, L, 0, 2,Liverpool,Newcastle Utd
2025-03-02, Home, L, 1, 2,Brighton,Newcastle Utd
2025-03-10, Away, W, 1, 0,West Ham,Newcastle Utd
2025-03-16, Neutral, W, 2, 1,Liverpool,Newcastle Utd
2025-04-02, Home, W, 2, 1,Brentford,Newcastle Utd
2025-04-07, Away, W, 3, 0,Leicester City,Newcastle Utd
2025-04-13, Home, W, 4, 1,Manchester Utd,Newcastle Utd
2025-04-16, Home, W, 5, 0,Crystal Palace,Newcastle Utd
2025-04-19, Away, L, 1, 4,Aston Villa,Newcastle Utd
2025-04-26, Home, W, 3, 0,Ipswich Town,Newcastle Utd
2025-05-04, Away, D, 1, 1,Brighton,Newcastle Utd
2025-05-11, Home, W, 2, 0,Chelsea,Newcastle Utd
2025-05-18, Away, L, 0, 1,Arsenal,Newcastle Utd
2025-05-25, Home, L, 0, 1,Everton,Newcastle Utd
2024-08-17, Away, W, 2, 1,West Ham,Aston Villa
2024-08-24, Home, L, 0, 2,Arsenal,Aston Villa
2024-08-31, Away, W, 2, 1,Leicester City,Aston Villa
2024-09-14, Home, W, 3, 2,Everton,Aston Villa
2024-09-17, Away, W, 3, 0,Young Boys,Aston Villa
2024-09-21, Home, W, 3, 1,Wolves,Aston Villa
2024-09-24, Away, W, 2, 1,Wycombe,Aston Villa
2024-09-29, Away, D, 2, 2,Ipswich Town,Aston Villa
2024-10-02, Home, W, 1, 0,Bayern Munich,Aston Villa
2024-10-06, Home, D, 0, 0,Manchester Utd,Aston Villa
2024-10-19, Away, W, 3, 1,Fulham,Aston Villa
2024-10-22, Home, W, 2, 0,Bologna,Aston Villa
2024-10-26, Home, D, 1, 1,Bournemouth,Aston Villa
2024-10-30, Home, L, 1, 2,Crystal Palace,Aston Villa
2024-11-03, Away, L, 1, 4,Tottenham,Aston Villa
2024-11-06, Away, L, 0, 1,Club Brugge,Aston Villa
2024-11-09, Away, L, 0, 2,Liverpool,Aston Villa
2024-11-23, Home, D, 2, 2,Crystal Palace,Aston Villa
2024-11-27, Home, D, 0, 0,Juventus,Aston Villa
2024-12-01, Away, L, 0, 3,Chelsea,Aston Villa
2024-12-04, Home, W, 3, 1,Brentford,Aston Villa
2024-12-07, Home, W, 1, 0,Southampton,Aston Villa
2024-12-10, Away, W, 3, 2,RB Leipzig,Aston Villa
2024-12-14, Away, L, 1, 2,Nott'ham Forest,Aston Villa
2024-12-21, Home, W, 2, 1,Manchester City,Aston Villa
2024-12-26, Away, L, 0, 3,Newcastle Utd,Aston Villa
2024-12-30, Home, D, 2, 2,Brighton,Aston Villa
2025-01-04, Home, W, 2, 1,Leicester City,Aston Villa
2025-01-10, Home, W, 2, 1,West Ham,Aston Villa
2025-01-15, Away, W, 1, 0,Everton,Aston Villa
2025-01-18, Away, D, 2, 2,Arsenal,Aston Villa
2025-01-21, Away, L, 0, 1,Monaco,Aston Villa
2025-01-26, Home, D, 1, 1,West Ham,Aston Villa
2025-01-29, Home, W, 4, 2,Celtic,Aston Villa
2025-02-01, Away, L, 0, 2,Wolves,Aston Villa
2025-02-09, Home, W, 2, 1,Tottenham,Aston Villa
2025-02-15, Home, D, 1, 1,Ipswich Town,Aston Villa
2025-02-19, Home, D, 2, 2,Liverpool,Aston Villa
2025-02-22, Home, W, 2, 1,Chelsea,Aston Villa
2025-02-25, Away, L, 1, 4,Crystal Palace,Aston Villa
2025-02-28, Home, W, 2, 0,Cardiff City,Aston Villa
2025-03-04, Away, W, 3, 1,Club Brugge,Aston Villa
2025-03-08, Away, W, 1, 0,Brentford,Aston Villa
2025-03-12, Home, W, 3, 0,Club Brugge,Aston Villa
2025-03-30, Away, W, 3, 0,Preston,Aston Villa
2025-04-02, Away, W, 3, 0,Brighton,Aston Villa
2025-04-05, Home, W, 2, 1,Nott'ham Forest,Aston Villa
2025-04-09, Away, L, 1, 3,Paris S-G,Aston Villa
2025-04-12, Away, W, 3, 0,Southampton,Aston Villa
2025-04-15, Home, W, 3, 2,Paris S-G,Aston Villa
2025-04-19, Home, W, 4, 1,Newcastle Utd,Aston Villa
2025-04-22, Away, L, 1, 2,Manchester City,Aston Villa
2025-04-26, Away, L, 0, 3,Crystal Palace,Aston Villa
2025-05-03, Home, W, 1, 0,Fulham,Aston Villa
2025-05-10, Away, W, 1, 0,Bournemouth,Aston Villa
2025-05-16, Home, W, 2, 0,Tottenham,Aston Villa
2025-05-25, Away, L, 0, 2,Manchester Utd,Aston Villa
2024-08-17, Home, D, 1, 1,Bournemouth,Nott'ham Forest
2024-08-24, Away, W, 1, 0,Southampton,Nott'ham Forest
2024-08-31, Home, D, 1, 1,Wolves,Nott'ham Forest
2024-09-14, Away, W, 1, 0,Liverpool,Nott'ham Forest
2024-09-22, Away, D, 2, 2,Brighton,Nott'ham Forest
2024-09-28, Home, L, 0, 1,Fulham,Nott'ham Forest
2024-10-06, Away, D, 1, 1,Chelsea,Nott'ham Forest
2024-10-21, Home, W, 1, 0,Crystal Palace,Nott'ham Forest
2024-10-25, Away, W, 3, 1,Leicester City,Nott'ham Forest
2024-11-02, Home, W, 3, 0,West Ham,Nott'ham Forest
2024-11-10, Home, L, 1, 3,Newcastle Utd,Nott'ham Forest
2024-11-23, Away, L, 0, 3,Arsenal,Nott'ham Forest
2024-11-30, Home, W, 1, 0,Ipswich Town,Nott'ham Forest
2024-12-04, Away, L, 0, 3,Manchester City,Nott'ham Forest
2024-12-07, Away, W, 3, 2,Manchester Utd,Nott'ham Forest
2024-12-14, Home, W, 2, 1,Aston Villa,Nott'ham Forest
2024-12-21, Away, W, 2, 0,Brentford,Nott'ham Forest
2024-12-26, Home, W, 1, 0,Tottenham,Nott'ham Forest
2024-12-29, Away, W, 2, 0,Everton,Nott'ham Forest
2025-01-06, Away, W, 3, 0,Wolves,Nott'ham Forest
2025-01-11, Home, W, 2, 0,Luton Town,Nott'ham Forest
2025-01-14, Home, D, 1, 1,Liverpool,Nott'ham Forest
2025-01-19, Home, W, 3, 2,Southampton,Nott'ham Forest
2025-01-25, Away, L, 0, 5,Bournemouth,Nott'ham Forest
2025-02-01, Home, W, 7, 0,Brighton,Nott'ham Forest
2025-02-15, Away, L, 1, 2,Fulham,Nott'ham Forest
2025-02-23, Away, L, 3, 4,Newcastle Utd,Nott'ham Forest
2025-02-26, Home, D, 0, 0,Arsenal,Nott'ham Forest
2025-03-08, Home, W, 1, 0,Manchester City,Nott'ham Forest
2025-03-15, Away, W, 4, 2,Ipswich Town,Nott'ham Forest
2025-04-01, Home, W, 1, 0,Manchester Utd,Nott'ham Forest
2025-04-05, Away, L, 1, 2,Aston Villa,Nott'ham Forest
2025-04-12, Home, L, 0, 1,Everton,Nott'ham Forest
2025-04-21, Away, W, 2, 1,Tottenham,Nott'ham Forest
2025-04-27, Home, L, 0, 2,Manchester City,Nott'ham Forest
2025-05-01, Home, L, 0, 2,Brentford,Nott'ham Forest
2025-05-05, Away, D, 1, 1,Crystal Palace,Nott'ham Forest
2025-05-11, Home, D, 2, 2,Leicester City,Nott'ham Forest
2025-05-18, Away, W, 2, 1,West Ham,Nott'ham Forest
2025-05-25, Home, L, 0, 1,Chelsea,Nott'ham Forest
2024-08-17, Away, W, 3, 0,Everton,Brighton
2024-08-24, Home, W, 2, 1,Manchester Utd,Brighton
2024-08-27, Home, W, 4, 0,Crawley Town,Brighton
2024-08-31, Away, D, 1, 1,Arsenal,Brighton
2024-09-14, Home, D, 0, 0,Ipswich Town,Brighton
2024-09-18, Home, W, 3, 2,Wolves,Brighton
2024-09-22, Home, D, 2, 2,Nott'ham Forest,Brighton
2024-09-28, Away, L, 2, 4,Chelsea,Brighton
2024-10-06, Home, W, 3, 2,Tottenham,Brighton
2024-10-19, Away, W, 1, 0,Newcastle Utd,Brighton
2024-10-26, Home, D, 2, 2,Wolves,Brighton
2024-10-30, Home, L, 2, 3,Liverpool,Brighton
2024-11-02, Away, L, 1, 2,Liverpool,Brighton
2024-11-09, Home, W, 2, 1,Manchester City,Brighton
2024-11-23, Away, W, 2, 1,Bournemouth,Brighton
2024-11-29, Home, D, 1, 1,Southampton,Brighton
2024-12-05, Away, L, 1, 3,Fulham,Brighton
2024-12-08, Away, D, 2, 2,Leicester City,Brighton
2024-12-15, Home, L, 1, 3,Crystal Palace,Brighton
2024-12-21, Away, D, 1, 1,West Ham,Brighton
2024-12-27, Home, D, 0, 0,Brentford,Brighton
2024-12-30, Away, D, 2, 2,Aston Villa,Brighton
2025-01-04, Home, D, 1, 1,Arsenal,Brighton
2025-01-11, Away, W, 4, 0,Norwich City,Brighton
2025-01-16, Away, W, 2, 0,Ipswich Town,Brighton
2025-01-19, Away, W, 3, 1,Manchester Utd,Brighton
2025-01-25, Home, L, 0, 1,Everton,Brighton
2025-02-01, Away, L, 0, 7,Nott'ham Forest,Brighton
2025-02-08, Home, W, 2, 1,Chelsea,Brighton
2025-02-14, Home, W, 3, 0,Chelsea,Brighton
2025-02-22, Away, W, 4, 0,Southampton,Brighton
2025-02-25, Home, W, 2, 1,Bournemouth,Brighton
2025-03-02, Away, W, 2, 1,Newcastle Utd,Brighton
2025-03-08, Home, W, 2, 1,Fulham,Brighton
2025-03-15, Away, D, 2, 2,Manchester City,Brighton
2025-04-02, Home, L, 0, 3,Aston Villa,Brighton
2025-04-05, Away, L, 1, 2,Crystal Palace,Brighton
2025-04-12, Home, D, 2, 2,Leicester City,Brighton
2025-04-19, Away, L, 2, 4,Brentford,Brighton
2025-04-26, Home, W, 3, 2,West Ham,Brighton
2025-05-04, Home, D, 1, 1,Newcastle Utd,Brighton
2025-05-10, Away, W, 2, 0,Wolves,Brighton
2025-05-19, Home, W, 3, 2,Liverpool,Brighton
2025-05-25, Away, W, 4, 1,Tottenham,Brighton
2024-08-17, Away, D, 1, 1,Nott'ham Forest,Bournemouth
2024-08-25, Home, D, 1, 1,Newcastle Utd,Bournemouth
2024-08-28, Away, L, 0, 1,West Ham,Bournemouth
2024-08-31, Away, W, 3, 2,Everton,Bournemouth
2024-09-14, Home, L, 0, 1,Chelsea,Bournemouth
2024-09-21, Away, L, 0, 3,Liverpool,Bournemouth
2024-09-30, Home, W, 3, 1,Southampton,Bournemouth
2024-10-05, Away, L, 0, 1,Leicester City,Bournemouth
2024-10-19, Home, W, 2, 0,Arsenal,Bournemouth
2024-10-26, Away, D, 1, 1,Aston Villa,Bournemouth
2024-11-02, Home, W, 2, 1,Manchester City,Bournemouth
2024-11-09, Away, L, 2, 3,Brentford,Bournemouth
2024-11-23, Home, L, 1, 2,Brighton,Bournemouth
2024-11-30, Away, W, 4, 2,Wolves,Bournemouth
2024-12-05, Home, W, 1, 0,Tottenham,Bournemouth
2024-12-08, Away, W, 2, 1,Ipswich Town,Bournemouth
2024-12-16, Home, D, 1, 1,West Ham,Bournemouth
2024-12-22, Away, W, 3, 0,Manchester Utd,Bournemouth
2024-12-26, Home, D, 0, 0,Crystal Palace,Bournemouth
2024-12-29, Away, D, 2, 2,Fulham,Bournemouth
2025-01-04, Home, W, 1, 0,Everton,Bournemouth
2025-01-11, Home, W, 5, 1,West Brom,Bournemouth
2025-01-14, Away, D, 2, 2,Chelsea,Bournemouth
2025-01-18, Away, W, 4, 1,Newcastle Utd,Bournemouth
2025-01-25, Home, W, 5, 0,Nott'ham Forest,Bournemouth
2025-02-01, Home, L, 0, 2,Liverpool,Bournemouth
2025-02-08, Away, W, 2, 0,Everton,Bournemouth
2025-02-15, Away, W, 3, 1,Southampton,Bournemouth
2025-02-22, Home, L, 0, 1,Wolves,Bournemouth
2025-02-25, Away, L, 1, 2,Brighton,Bournemouth
2025-03-09, Away, D, 2, 2,Tottenham,Bournemouth
2025-03-15, Home, L, 1, 2,Brentford,Bournemouth
2025-03-30, Home, L, 1, 2,Manchester City,Bournemouth
2025-04-02, Home, L, 1, 2,Ipswich Town,Bournemouth
2025-04-05, Away, D, 2, 2,West Ham,Bournemouth
